OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,LABEL
ISS (UNITY),1998-069F,2026-06-24T03:44:04.640064,15.49396189,0.0004426999999999,51.6326,265.6,224.4953,135.5681,0,U,25575,999,57148,0.00013974885,7.363e-05,0.0,Satellite
DLR-TUBSAT,1999-029B,2026-06-24T06:01:55.868448,14.52428256,0.00136317,98.6696,170.9879,333.1881,26.8608,0,U,25757,999,43427,2.8750387000000003e-05,6.9e-07,0.0,Satellite
CXO,1999-040B,2026-06-26T07:28:02.155584,0.37800874,0.7818645200000001,56.2784,116.4107,310.1913,0.3296,0,U,25867,999,1735,0.0,4.839999999999999e-06,0.0,Satellite
ABS-6,1999-053A,2026-06-24T05:10:38.394624,1.00269854,0.00036763,0.0345,284.4349,173.0958,51.5304,0,U,25924,999,9791,0.0,-1.12e-06,0.0,Satellite
NAVSTAR 46 (USA 145),1999-055A,2026-06-22T19:59:21.454944,2.00562,0.01065974,51.4579,295.2217,175.9284,222.6463,0,U,25933,999,19569,0.0,-9.9e-07,0.0,Satellite
UFO 10 (USA 146),1999-063A,2026-06-23T21:08:15.473760,1.00269734,0.00018752,9.8609,27.1721,49.1579,129.8005,0,U,25967,999,9741,0.0,-1.91e-06,0.0,Satellite
ORBCOMM FM32,1999-065C,2026-06-24T04:08:22.029216,14.37137703,0.00042628,45.0133,140.1746,75.8924,284.2398,0,U,25982,999,38809,0.0002081247199999,4.82e-06,0.0,Satellite
XMM-NEWTON,1999-066A,2026-06-26T07:47:46.821408,0.50127949,0.46710495,64.4359,282.8679,64.7288,0.108,0,U,25989,999,2304,0.0,6.000000000000002e-08,0.0,Satellite
TERRA,1999-068A,2026-06-24T04:54:11.881152,14.61107812,0.00021345,97.9452,224.4723,168.7843,232.0602,0,U,25994,999,41063,6.9674822e-05,2.98e-06,0.0,Satellite
ASIASTAR,2000-016A,2026-06-24T02:52:44.505984,1.00273815,0.00045727,9.1459,58.0808,29.749,332.642,0,U,26107,999,9599,0.0,-3.34e-06,0.0,Satellite
IMAGE,2000-017A,2026-06-21T10:12:18.318528,1.6866641,0.7428984200000001,94.2324,315.4279,287.3239,9.1864,0,U,26113,999,16157,0.0,-8.599999999999999e-07,0.0,Satellite
USA 149 (DSP 20),2000-024A,2026-06-24T04:25:40.844928,1.00278668,0.00017899,13.1758,11.8048,323.2798,198.3966,0,U,26356,999,3298,0.0,9.1e-07,0.0,Satellite
TDRS 8,2000-034A,2026-06-24T02:46:37.592832,1.00276386,0.00048896,12.694,31.2621,23.2171,344.1519,0,U,26388,999,9525,0.0,-1.99e-06,0.0,Satellite
ISS (ZVEZDA),2000-037A,2026-06-24T03:44:04.640064,15.49396189,0.0004426999999999,51.6326,265.6,224.4953,135.5681,0,U,26400,999,57153,0.00013974885,7.363e-05,0.0,Satellite
NAVSTAR 48 (USA 151),2000-040A,2026-06-23T06:50:34.458720,2.0055778,0.01209615,54.8508,214.92,302.5244,64.1899,0,U,26407,999,19007,0.0,5.2e-07,0.0,Satellite
CLUSTER II-FM7 (SAMBA),2000-041A,2026-06-26T01:33:12.192480,0.44870397,0.90618129,149.9012,52.3742,269.6784,359.6419,0,U,26410,999,2035,0.0,5.882e-05,0.0,Satellite
CLUSTER II-FM8 (TANGO),2000-045B,2026-06-21T22:36:54.211968,0.44420336,0.90628137,150.1352,52.7746,269.8657,2.6673,0,U,26464,999,2033,0.0,4.8490000000000005e-05,0.0,Satellite
NSS-11,2000-059A,2026-06-24T04:55:36.908256,1.00271944,0.00030585,2.1452,81.3159,3.322,77.616,0,U,26554,999,4136,0.0,3.1e-07,0.0,Satellite
USA 153,2000-065A,2026-06-23T22:58:38.741376,1.00268576,0.0003086999999999,11.6362,35.3664,47.754,308.0828,0,U,26575,999,3299,0.0,-3.28e-06,0.0,Satellite
AMC-6,2000-067A,2026-06-24T05:09:39.182112,1.0027156,0.00038209,0.1706,83.4016,18.7164,112.611,0,U,26580,999,9396,0.0,9.6e-07,0.0,Satellite
NAVSTAR 49 (USA 154),2000-071A,2026-06-23T15:04:17.591232,2.00565236,0.01741208,55.6289,94.6999,266.8055,272.3395,0,U,26605,999,18764,0.0,-4.8e-07,0.0,Satellite
ISS (DESTINY),2001-006B,2026-06-24T03:44:04.640064,15.49396189,0.0004426999999999,51.6326,265.6,224.4953,135.5681,0,U,26700,999,57158,0.00013974885,7.363e-05,0.0,Satellite
ODIN,2001-007A,2026-06-24T01:47:46.665024,15.78110127,0.00065958,97.3809,216.4694,136.3483,223.8306,0,U,26702,999,39048,0.0011252304,0.00195232,0.0,Satellite
USA 157 (MILSTAR-2 2),2001-009A,2026-06-24T04:22:19.672032,1.00278822,0.00393024,11.5505,19.7238,177.1222,351.1307,0,U,26715,999,3301,0.0,1.07e-06,0.0,Satellite
BSAT-2A,2001-011B,2026-06-24T04:46:38.684640,0.99175575,0.00027042,10.7474,47.4261,188.1577,355.9479,0,U,26720,999,9204,0.0,4.5e-07,0.0,Satellite
OMNI-M1,2001-026A,2026-06-21T13:26:06.294048,3.92401787,0.00140727,44.8291,244.2559,54.4534,305.7323,0,U,26857,999,20574,0.0,-2e-07,0.0,Satellite
INTELSAT 902 (IS-902),2001-039A,2026-06-24T03:51:04.887936,1.00272396,0.00042421,6.1339,71.6983,21.2858,186.9989,0,U,26900,999,9076,0.0,-2.8e-06,0.0,Satellite
PCSAT (NO-44),2001-043C,2026-06-24T05:07:43.119264,14.31958084,0.00060539,67.0495,226.0984,264.9653,95.0758,0,U,26931,999,29145,5.3323344e-05,6e-07,0.0,Satellite
PROBA-1,2001-049B,2026-06-24T07:19:38.828928,15.07521217,0.00562967,97.96,184.086,98.5473,262.2139,0,U,26958,999,34469,0.00018615154,2.859e-05,0.0,Satellite
TIMED,2001-055B,2026-06-24T04:00:26.544096,14.95305582,0.00014927,74.0664,220.9648,325.554,34.5548,0,U,26998,999,33186,7.568593400000001e-05,7.94e-06,0.0,Satellite
MAROC-TUBSAT,2001-056D,2026-06-24T06:04:57.094176,13.70262661,0.00205086,99.8086,352.2461,123.7364,49.6468,0,U,27004,999,22715,2.8949028000000003e-05,-2.1e-07,0.0,Satellite
COSMOS 2385,2001-058B,2026-06-24T08:17:46.612032,12.60565119,0.00055554,82.5362,215.2698,206.5514,164.7033,0,U,27056,999,12668,-0.0003471868299999,-5e-07,0.0,Satellite
COSMOS 2386,2001-058C,2026-06-24T03:33:48.494880,12.61616581,0.00016119,82.5428,209.71,89.4171,270.7104,0,U,27057,999,12738,-6.11516e-07,1e-07,0.0,Satellite
USA 164 (MILSTAR-2 3),2002-001A,2026-06-24T00:02:58.559424,1.00269507,0.00997868,11.1879,21.8685,8.5157,261.4678,0,U,27168,999,3302,0.0,9.4e-07,0.0,Satellite
INTELSAT 904 (IS-904),2002-007A,2026-06-24T02:13:38.866080,1.00273577,0.00065176,6.9376,69.1037,8.8219,196.2346,0,U,27380,999,5183,0.0,-2.23e-06,0.0,Satellite
AQUA,2002-022A,2026-06-24T05:59:09.983904,14.62167261,8.507e-05,98.428,144.6735,59.7757,53.2863,0,U,27424,999,28430,0.00013620253,6.36e-06,0.0,Satellite
DIRECTV 5 (TEMPO 1),2002-023A,2026-06-24T04:40:47.841024,1.00272783,0.00034591,4.8961,75.227,21.4649,135.753,0,U,27426,999,8819,0.0,-5.3e-07,0.0,Satellite
INTELSAT 905 (IS-905),2002-027A,2026-06-23T18:53:05.214624,1.00273149,0.00041178,6.7705,69.7228,25.1578,323.1299,0,U,27438,999,5142,0.0,9.5e-07,0.0,Satellite
GALAXY 3C (G-3C),2002-030A,2026-06-24T05:21:05.412384,1.00272138,0.00018909,3.7509,77.8897,26.6024,153.3142,0,U,27445,999,4656,0.0,-1.48e-06,0.0,Satellite
COSMOS 2390,2002-036A,2026-06-24T06:37:59.410848,12.44623633,0.00246094,82.4853,340.5208,242.0935,117.7654,0,U,27464,999,8855,0.0003078937,5.3e-07,0.0,Satellite
COSMOS 2391,2002-036B,2026-06-24T06:59:21.204960,12.44946565,0.0025531,82.485,337.0416,235.8839,123.9819,0,U,27465,999,8873,8.9325876e-05,2.2e-07,0.0,Satellite
INTELSAT 906 (IS-906),2002-041A,2026-06-24T04:23:46.753728,1.00271612,0.00042929,5.8196,72.8355,4.9907,324.6006,0,U,27513,999,8709,0.0,1.6e-07,0.0,Satellite
LATINSAT B,2002-058B,2026-06-23T14:08:45.922560,14.77030718,0.00874227,64.5534,231.0668,268.7222,90.3865,0,U,27606,999,26304,6.2610376e-05,3.18e-06,0.0,Satellite
SAUDISAT 1C (SO-50),2002-058C,2026-06-24T00:48:02.796480,14.83059331,0.00750962,64.5518,107.8036,261.1879,98.0718,0,U,27607,999,26547,0.0001068206699999,7.569999999999999e-06,0.0,Satellite
